,date,action,price,shares,capital
95,2015-06-15,SELL,0.5098348259925842,,8468.055673136987
96,2015-07-31,BUY,0.4827337861061096,17541.87487360917,
97,2015-08-25,SELL,0.4927836656570434,,8644.349402714312
98,2015-09-10,BUY,0.5486711263656616,15755.065260994414,
99,2016-01-06,SELL,0.7690566182136536,,12116.537209355776
100,2016-02-19,BUY,0.7424697875976562,16319.232663405986,
101,2016-05-03,SELL,0.8707578182220459,,14210.099429045344
102,2016-05-13,BUY,1.0031952857971191,14164.838721061453,
103,2016-06-27,SELL,1.1103569269180298,,15728.02679260731
104,2016-07-06,BUY,1.1695071458816528,13448.422994243845,
105,2016-09-09,SELL,1.46353280544281,,19682.20823354729
106,2016-09-20,BUY,1.551315188407898,12687.433463309915,
107,2016-10-14,SELL,1.622623085975647,,20586.922439346625
108,2016-10-24,BUY,1.7386826276779177,11840.529209658756,
109,2017-01-12,SELL,2.547285556793213,,30161.209040551905
110,2017-01-25,BUY,2.6544084548950195,11362.685718142337,
111,2017-02-15,SELL,2.6842048168182373,,30499.77573662945
112,2017-03-17,BUY,2.6153483390808105,11661.840711952309,
113,2017-04-06,SELL,2.4844210147857666,,28972.922135858524
114,2017-04-25,BUY,2.582554340362549,11218.707650423028,
115,2017-06-29,SELL,3.620470762252808,,40617.00303861847
116,2017-07-12,BUY,4.011198043823242,10125.903182757012,
117,2017-08-15,SELL,4.121531009674072,,41734.223968690414
118,2017-08-31,BUY,4.185932636260986,9970.113615103182,
119,2017-11-29,SELL,4.855831623077393,,48413.1929778925
120,2017-12-22,BUY,4.827402591705322,10028.828559084423,
121,2018-02-07,SELL,5.656318187713623,,56726.245380211025
122,2018-02-15,BUY,6.093893051147461,9308.703796422822,
123,2018-03-06,SELL,5.990321636199951,,55762.12975668826
124,2018-03-08,BUY,5.966079711914063,9346.527778590207,
125,2018-03-23,SELL,5.762988567352295,,53863.93273245601
126,2018-03-26,BUY,6.047711849212647,8906.497874806744,
127,2018-03-27,SELL,5.578696250915527,,49686.646302971494
128,2018-04-17,BUY,5.876036643981934,8455.809470463244,
129,2018-04-25,SELL,5.359526634216309,,45319.13607080626
130,2018-05-03,BUY,5.763483047485352,7863.150754053023,
131,2018-06-22,SELL,6.211600303649902,,48842.74961152072
132,2018-07-12,BUY,6.218529224395752,7854.3893337201,
133,2018-08-01,SELL,6.100709438323975,,47917.34714049737
134,2018-08-07,BUY,6.360113620758057,7534.0394838396205,
135,2018-08-21,SELL,6.270263671875,,47240.414077991445
136,2018-08-23,BUY,6.60491418838501,7152.313070329587,
137,2018-09-18,SELL,6.712047100067139,,48006.662202478
138,2018-10-01,BUY,7.166255474090576,6698.988387456312,
139,2018-10-10,SELL,6.084729194641113,,40761.53021571722
140,2019-01-10,BUY,3.600347757339477,11321.55362843018,
141,2019-01-30,SELL,3.405988931655884,,38561.0863475817
142,2019-02-06,BUY,3.7929704189300537,10166.461134294654,
143,2019-03-08,SELL,3.738313674926758,,38005.4206839451
144,2019-03-13,BUY,4.18450927734375,9082.408035206998,
145,2019-04-26,SELL,4.41951847076416,,40139.87007061415
146,2019-06-12,BUY,3.632270812988281,11050.902352071858,
147,2019-08-05,SELL,3.746307611465454,,41400.07959512829
