,date,action,price,shares,capital
131,2014-08-01,SELL,28.444904327392575,,117823.40414786305
132,2014-08-19,BUY,29.610769271850582,3979.0727172992306,
133,2014-09-03,SELL,29.234376907348636,,116325.71155927362
134,2014-09-04,BUY,29.413896560668945,3954.787537902054,
135,2014-09-15,SELL,28.84360885620117,,114070.3448526257
136,2014-09-19,BUY,30.021873474121094,3799.5744986053096,
137,2014-09-26,SELL,29.154041290283203,,110772.95181784629
138,2014-10-30,BUY,27.783870697021484,3986.9517471416066,
139,2014-11-18,SELL,27.00232696533203,,107656.97467131946
140,2014-12-26,BUY,26.854053497314453,4008.9655247795545,
141,2015-01-06,SELL,25.12434959411621,,100722.65135532108
142,2015-01-23,BUY,26.875375747680664,3747.7671866229966,
143,2015-03-16,SELL,27.851808547973636,,104382.09416420148
144,2015-03-20,BUY,28.015949249267575,3725.8096534755236,
145,2015-03-23,SELL,28.036775588989254,,104459.68914178308
146,2015-03-24,BUY,28.640289306640625,3647.298671580204,
147,2015-03-27,SELL,27.648983001708984,,100844.09897267682
148,2015-04-24,BUY,28.44787979125977,3544.872226423701,
149,2015-05-06,SELL,26.534690856933597,,94062.08865548282
150,2015-05-22,BUY,27.498722076416016,3420.5985425102413,
151,2015-06-09,SELL,26.885787963867188,,91965.48712344348
152,2015-06-22,BUY,27.754608154296875,3313.5213659720034,
153,2015-06-30,SELL,26.78066062927246,,88738.29118993954
154,2015-07-13,BUY,28.352169036865234,3129.8589915486377,
155,2015-08-24,SELL,30.65216064453125,,95936.94060367942
156,2015-09-15,BUY,32.98091506958008,2908.8623041926085,
157,2015-09-28,SELL,30.95664405822754,,90048.61496528618
158,2015-10-06,BUY,33.30672073364258,2703.6169572325844,
159,2015-12-11,SELL,37.21343612670898,,100610.87694906206
160,2015-12-28,BUY,38.791385650634766,2593.6396769940006,
161,2016-01-07,SELL,36.74629592895508,,95306.65110390101
162,2016-01-29,BUY,37.75545501708984,2524.3147264616696,
163,2016-02-08,SELL,34.919395446777344,,88147.54416543862
164,2016-03-01,BUY,36.804317474365234,2395.03270850858,
165,2016-03-10,SELL,36.30841064453125,,86959.83108761343
166,2016-03-11,BUY,36.938209533691406,2354.197244138139,
167,2016-04-25,SELL,36.80630111694336,,86649.29265642657
168,2016-05-24,BUY,36.35105895996094,2383.6800119596755,
169,2016-06-16,SELL,35.91565704345703,,85611.43381088726
170,2016-07-11,BUY,36.06194686889648,2374.010314033471,
171,2016-08-24,SELL,39.35473251342773,,93428.5408929058
172,2016-09-08,BUY,39.81293869018555,2346.687885060272,
173,2016-09-14,SELL,39.19902038574219,,91987.86624545182
174,2016-09-20,BUY,39.66120147705078,2319.3413920826097,
175,2016-10-07,SELL,39.70732116699219,,92094.83355132294
176,2016-10-10,BUY,40.37480163574219,2280.997796154993,
177,2016-11-02,SELL,39.09786224365234,,89182.13761214248
178,2016-12-08,BUY,39.43259048461914,2261.6352746829652,
179,2017-01-03,SELL,40.06932830810547,,90622.20633446403
180,2017-01-09,BUY,41.01997375488281,2209.221460647005,
181,2017-02-02,SELL,40.57762145996094,,89644.95215135616
182,2017-02-13,BUY,41.60414123535156,2154.7122351172034,
183,2017-03-24,SELL,41.41470718383789,,89236.77628281184
184,2017-04-18,BUY,42.34948348999024,2107.1514674766677,
185,2017-06-14,SELL,47.99978256225586,,101142.81226461839
186,2017-07-13,BUY,48.0453987121582,2105.150856808761,
187,2017-07-31,SELL,46.88747787475586,,98705.21422164413
188,2017-08-31,BUY,47.370487213134766,2083.685856502557,
189,2017-09-19,SELL,46.459014892578125,,96805.99223870669
190,2017-09-27,BUY,47.60156631469727,2033.672413187321,
191,2017-10-26,SELL,49.164649963378906,,99984.79233453471
192,2017-10-27,BUY,51.25983428955078,1950.5484892860143,
193,2017-12-04,SELL,50.17877197265625,,97876.12786549205
194,2017-12-12,BUY,52.00864791870117,1881.9202533103717,
195,2018-02-05,SELL,52.68406677246094,,99147.21228585023
196,2018-02-23,BUY,55.94213485717773,1772.3172799711097,
197,2018-03-21,SELL,54.251609802246094,,96151.06551877079
198,2018-04-17,BUY,53.525611877441406,1796.3562142723315,
199,2018-04-27,SELL,51.14974212646485,,91883.15712730239
200,2018-05-09,BUY,54.00118255615234,1701.502685274698,
201,2018-06-27,SELL,55.38921356201172,,94244.89561101666
202,2018-07-11,BUY,58.092864990234375,1622.3144722998181,
203,2018-08-16,SELL,60.7013053894043,,98476.60622072154
204,2018-08-29,BUY,62.71417236328125,1570.244850721796,
205,2018-09-05,SELL,59.46353912353516,,93372.31611442515
206,2018-09-28,BUY,59.85926055908203,1559.8641754397418,
207,2018-10-08,SELL,57.32223510742188,,89414.90100020164
208,2018-11-29,BUY,54.280372619628906,1647.2786881324275,
209,2018-12-11,SELL,52.647369384765625,,86724.88957376005
210,2019-01-02,BUY,52.30172729492188,1658.1649222544972,
211,2019-02-26,SELL,55.64062881469727,,92261.33895271384
212,2019-03-01,BUY,56.95526123046875,1619.8914193261178,
213,2019-03-29,SELL,58.36213684082031,,94540.32468198152
214,2019-04-03,BUY,60.04423522949219,1574.5112635816492,
215,2019-05-02,SELL,57.84739685058594,,91081.37791012519
216,2019-06-19,BUY,54.77280426025391,1662.8941888268212,
217,2019-07-01,SELL,54.54915237426758,,90709.46848859834
218,2019-07-02,BUY,55.17399215698242,1644.0620832820923,
219,2019-08-15,SELL,57.98673248291016,,95333.78820857465
220,2019-08-30,BUY,59.03854751586914,1614.7719112322268,
221,2019-09-03,SELL,57.998146057128906,,93653.77715659588
222,2019-09-04,BUY,58.62893295288086,1597.3986296469686,
223,2019-10-02,SELL,58.4132194519043,,93309.19670573958
224,2019-10-16,BUY,61.64054107666016,1513.763427055162,
225,2019-12-03,SELL,64.20632934570312,,97193.19314898399
226,2019-12-06,BUY,66.4205322265625,1463.3004267032215,
227,2020-02-25,SELL,68.747802734375,,100598.68907611984
228,2020-04-07,BUY,58.643314361572266,1715.4332112927107,
229,2020-06-17,SELL,72.03166198730469,,123565.50523763316
230,2020-06-18,BUY,71.11820220947266,1737.4666597122548,
231,2020-06-26,SELL,67.56855010986328,,117398.10306098426
232,2020-07-06,BUY,74.36785888671875,1578.6134604172423,
233,2020-07-31,SELL,73.78762817382812,,116482.14304746762
234,2020-08-18,BUY,77.15133666992188,1509.7877506104078,
235,2020-09-10,SELL,75.67703247070312,,114256.25662681366
236,2020-10-09,BUY,74.9034194946289,1525.3810493258804,
237,2020-12-15,SELL,87.33220672607422,,133214.8931357638
238,2021-01-08,BUY,89.15464782714844,1494.200205849488,
239,2021-01-15,SELL,85.67291259765625,,128012.48363914316
240,2021-01-19,BUY,88.49211883544922,1446.5975651140404,
241,2021-03-01,SELL,102.6347427368164,,148471.16893918457
242,2021-03-16,BUY,103.34040069580078,1436.7195011777972,
243,2021-03-22,SELL,100.70220184326172,,144680.81719975683
244,2021-04-01,BUY,105.61608123779295,1369.874885567949,
245,2021-05-12,SELL,109.11070251464844,,149468.01112149254
246,2021-05-25,BUY,117.17504119873048,1275.5959766892058,
247,2021-09-20,SELL,137.58238220214844,,175499.53320037713
248,2021-10-13,BUY,136.4542236328125,1286.1421840091405,
249,2021-11-26,SELL,141.01748657226562,,181368.53816353335
250,2021-12-10,BUY,146.78829956054688,1235.5789848817133,
251,2021-12-17,SELL,140.56324768066406,,173676.99488095174
252,2021-12-27,BUY,146.69406127929688,1183.9401906685298,
253,2022-01-04,SELL,143.2158203125,,169558.96560753117
254,2022-02-02,BUY,146.7868194580078,1155.1375405067477,
255,2022-02-17,SELL,131.4525604248047,,151845.78734242351
256,2022-03-18,BUY,135.0096435546875,1124.7032681848116,
257,2022-04-11,SELL,127.76750946044922,,143700.53545800108
258,2022-06-02,BUY,116.65830993652344,1231.8071086079676,
259,2022-06-14,SELL,105.84072875976562,,130375.36206652706
260,2022-06-27,BUY,114.88397979736328,1134.8437118603313,
