date,value,peak,drawdown
2015-05-04,9654.098622208863,19909.04736556146,-51.50898762284096
2015-05-05,9406.449988839386,19909.04736556146,-52.75288758863168
2015-05-06,9436.334226432584,19909.04736556146,-52.602783783841446
2015-05-07,9602.865783514859,19909.04736556146,-51.766322078645345
2015-05-08,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-11,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-12,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-13,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-14,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-15,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-18,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-19,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-20,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-21,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-22,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-26,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-27,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-28,8894.066655984805,19909.04736556146,-55.326508131324736
2015-05-29,8894.066655984805,19909.04736556146,-55.326508131324736
2015-06-01,8994.54056146856,19909.04736556146,-54.82184357536233
2015-06-02,8817.70514141989,19909.04736556146,-55.71005995659692
2015-06-03,8721.2506277546,19909.04736556146,-56.19453574237529
2015-06-04,8877.99106870692,19909.04736556146,-55.407253266853886
2015-06-05,8946.317759626845,19909.04736556146,-55.064059091535796
2015-06-08,8741.346596848933,19909.04736556146,-56.09359686405861
2015-06-09,8785.553966864121,19909.04736556146,-55.871550227655206
2015-06-10,8628.810555917846,19909.04736556146,-56.658847620987096
2015-06-11,8721.2506277546,19909.04736556146,-56.19453574237529
2015-06-12,8484.130270416887,19909.04736556146,-57.3855538407494
2015-06-15,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-16,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-17,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-18,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-19,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-22,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-23,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-24,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-25,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-26,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-29,8468.055673136987,19909.04736556146,-57.46629400367505
2015-06-30,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-01,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-02,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-06,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-07,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-08,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-09,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-10,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-13,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-14,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-15,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-16,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-17,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-20,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-21,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-22,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-23,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-24,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-27,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-28,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-29,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-30,8468.055673136987,19909.04736556146,-57.46629400367505
2015-07-31,8468.055673136987,19909.04736556146,-57.46629400367505
2015-08-03,8612.371991790054,19909.04736556146,-56.741415931895965
2015-08-04,8646.330771547227,19909.04736556146,-56.570846345447976
2015-08-05,8735.465706809297,19909.04736556146,-56.12313564575747
2015-08-06,8680.28798293857,19909.04736556146,-56.40028463665381
2015-08-07,9754.182571338166,19909.04736556146,-51.00628175604782
2015-08-10,10093.747366211042,19909.04736556146,-49.30070143049063
2015-08-11,10042.814163067082,19909.04736556146,-49.556530864258846
2015-08-12,10068.283378582113,19909.04736556146,-49.42860301795171
2015-08-13,9983.390872892369,19909.04736556146,-49.855004664052515
2015-08-14,9991.88200550034,19909.04736556146,-49.81235504625785
2015-08-17,9928.214717387473,19909.04736556146,-50.13214577729502
2015-08-18,9837.84547821656,19909.04736556146,-50.58605619054379
2015-08-19,9799.482204417882,19909.04736556146,-50.778748854809784
2015-08-20,9445.694422614057,19909.04736556146,-52.55576899699803
2015-08-21,9151.581915095092,19909.04736556146,-54.03304966301181
2015-08-24,8827.632816010919,19909.04736556146,-55.6601948153436
2015-08-25,8644.349402714312,19909.04736556146,-56.58079844811033
2015-08-26,8644.349402714312,19909.04736556146,-56.58079844811033
2015-08-27,8644.349402714312,19909.04736556146,-56.58079844811033
2015-08-28,8644.349402714312,19909.04736556146,-56.58079844811033
2015-08-31,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-01,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-02,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-03,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-04,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-08,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-09,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-10,8644.349402714312,19909.04736556146,-56.58079844811033
2015-09-11,8671.149666088373,19909.04736556146,-56.446184958665214
2015-09-14,8686.463163227054,19909.04736556146,-56.36926768152232
2015-09-15,8782.168059737238,19909.04736556146,-55.88855710430136
2015-09-16,8843.42204829196,19909.04736556146,-55.580887995729746
2015-09-17,8923.818143038805,19909.04736556146,-55.177071111523055
2015-09-18,8916.162803082067,19909.04736556146,-55.21552267485592
2015-09-21,9008.038151463745,19909.04736556146,-54.75404731295285
2015-09-22,8763.028770770323,19909.04736556146,-55.98469072945924
2015-09-23,8805.139714057861,19909.04736556146,-55.77317411334841
2015-09-24,8973.588182583355,19909.04736556146,-54.92708406477645
