Date,META
2021-06-03,323.5013427734375
2021-06-04,327.77777099609375
2021-06-07,333.9591979980469
2021-06-08,331.08184814453125
2021-06-09,327.67852783203125
2021-06-10,329.871337890625
2021-06-11,328.6806945800781
2021-06-14,334.14776611328125
2021-06-15,334.1279602050781
2021-06-16,328.5020751953125
2021-06-17,333.88983154296875
2021-06-18,327.0931396484375
2021-06-21,329.7026672363281
2021-06-22,336.3901672363281
2021-06-23,337.9380187988281
2021-06-24,340.5079040527344
2021-06-25,338.7119445800781
2021-06-28,352.8708801269531
2021-06-29,349.1501159667969
2021-06-30,345.0025939941406
2021-07-01,351.630615234375
2021-07-02,351.93817138671875
2021-07-06,350.0331726074219
2021-07-07,347.7608642578125
2021-07-08,342.9586181640625
2021-07-09,347.69146728515625
2021-07-12,350.41015625
2021-07-13,349.3484802246094
2021-07-14,344.9231872558594
2021-07-15,341.7779235839844
2021-07-16,338.50360107421875
2021-07-19,334.3263854980469
2021-07-20,338.9996643066406
2021-07-21,343.5341491699219
2021-07-22,348.4555358886719
2021-07-23,366.9106750488281
2021-07-26,369.55987548828125
2021-07-27,364.9460754394531
2021-07-28,370.3735046386719
2021-07-29,355.530029296875
2021-07-30,353.5257263183594
2021-08-02,349.20965576171875
2021-08-03,348.5050964355469
2021-08-04,356.1253356933594
2021-08-05,360.1438293457031
2021-08-06,360.67962646484375
2021-08-09,358.79437255859375
2021-08-10,358.318115234375
2021-08-11,357.1572570800781
2021-08-12,359.8262939453125
2021-08-13,360.35211181640625
2021-08-16,363.705810546875
2021-08-17,355.65899658203125
2021-08-18,352.6823425292969
2021-08-19,352.35491943359375
2021-08-20,356.57177734375
2021-08-23,360.52081298828125
2021-08-24,362.6639709472656
2021-08-25,365.5216369628906
2021-08-26,361.5428466796875
2021-08-27,369.72857666015625
2021-08-30,377.696044921875
2021-08-31,376.426025390625
2021-09-01,379.0751953125
2021-09-02,372.35791015625
2021-09-03,373.3303527832031
2021-09-07,379.2041320800781
2021-09-08,374.630126953125
2021-09-09,375.0567626953125
2021-09-10,375.74139404296875
2021-09-13,373.5783386230469
2021-09-14,373.5982360839844
2021-09-15,371.008544921875
2021-09-16,370.15521240234375
2021-09-17,361.880126953125
2021-09-20,352.930419921875
2021-09-21,354.6965637207031
2021-09-22,340.5376281738281
2021-09-23,343.2662353515625
2021-09-24,350.21173095703125
2021-09-27,350.8268737792969
2021-09-28,337.99755859375
2021-09-29,336.96563720703125
2021-09-30,336.74737548828125
2021-10-01,340.3392028808594
2021-10-04,323.6898498535156
2021-10-05,330.3674011230469
2021-10-06,331.04217529296875
2021-10-07,326.6566162109375
2021-10-08,327.4801025390625
2021-10-11,322.91595458984375
2021-10-12,321.2489929199219
2021-10-13,322.0130310058594
2021-10-14,325.971923828125
2021-10-15,322.2313232421875
2021-10-18,332.7289123535156
2021-10-19,337.34271240234375
2021-10-20,338.1265563964844
2021-10-21,339.21795654296875
2021-10-22,322.08245849609375
2021-10-25,326.1307067871094
2021-10-26,313.35101318359375
2021-10-27,309.7889709472656
2021-10-28,314.4523620605469
2021-10-29,321.0505676269531
2021-11-01,327.4106750488281
2021-11-02,325.5254821777344
2021-11-03,329.0379333496094
2021-11-04,333.2349548339844
2021-11-05,338.473876953125
2021-11-08,335.9833984375
2021-11-09,332.7586364746094
2021-11-10,325.0888977050781
2021-11-11,325.1880798339844
2021-11-12,338.2357177734375
2021-11-15,344.853759765625
2021-11-16,340.2895812988281
2021-11-17,338.1166076660156
2021-11-18,336.0528259277344
2021-11-19,342.6113586425781
2021-11-22,338.354736328125
2021-11-23,334.6240539550781
2021-11-24,338.4043884277344
2021-11-26,330.52618408203125
2021-11-29,335.39794921875
2021-11-30,321.93365478515625
2021-12-01,308.1815490722656
2021-12-02,307.97320556640625
2021-12-03,304.4508361816406
2021-12-06,315.3949890136719
2021-12-07,320.2964782714844
2021-12-08,327.986083984375
2021-12-09,327.2519226074219
2021-12-10,327.1824645996094
2021-12-13,331.8855285644531
2021-12-14,331.14141845703125
2021-12-15,338.9996643066406
2021-12-16,332.2923889160156
2021-12-17,331.1909484863281
2021-12-20,322.91595458984375
2021-12-21,331.5977783203125
2021-12-22,327.8769836425781
2021-12-23,332.62969970703125
2021-12-27,343.4844665527344
2021-12-28,343.524169921875
2021-12-29,340.2697448730469
2021-12-30,341.6786804199219
2021-12-31,333.73101806640625
2022-01-03,335.90399169921875
2022-01-04,333.90966796875
2022-01-05,321.6459045410156
2022-01-06,329.871337890625
2022-01-07,329.20654296875
2022-01-10,325.5155334472656
2022-01-11,331.76641845703125
2022-01-12,330.6651306152344
2022-01-13,323.93798828125
2022-01-14,329.3157043457031
2022-01-18,315.6727600097656
2022-01-19,317.1015625
2022-01-20,314.09515380859375
2022-01-21,300.8094177246094
2022-01-24,306.3062744140625
2022-01-25,297.81292724609375
2022-01-26,292.3359375
2022-01-27,292.3458557128906
2022-01-28,299.3607482910156
2022-01-31,310.82086181640625
2022-02-01,316.51617431640625
2022-02-02,320.4849853515625
2022-02-03,235.90870666503906
2022-02-04,235.24391174316406
2022-02-07,223.1587677001953
2022-02-08,218.46559143066406
2022-02-09,230.1935577392578
2022-02-10,226.29417419433594
2022-02-11,217.8404998779297
2022-02-14,216.0049285888672
2022-02-15,219.27920532226562
2022-02-16,214.85391235351562
2022-02-17,206.0926971435547
2022-02-18,204.5547637939453
2022-02-22,200.50653076171875
2022-02-23,196.90480041503906
2022-02-24,205.98353576660156
2022-02-25,208.84112548828125
2022-02-28,209.3868408203125
2022-03-01,201.9055633544922
2022-03-02,206.4895782470703
2022-03-03,201.38961791992188
2022-03-04,198.50225830078125
2022-03-07,186.0103302001953
2022-03-08,188.80831909179688
2022-03-09,196.9544219970703
2022-03-10,193.69003295898438
2022-03-11,186.14920043945312
2022-03-14,185.1768341064453
2022-03-15,190.53477478027344
2022-03-16,202.04444885253906
2022-03-17,206.2216796875
2022-03-18,214.80433654785156
2022-03-21,209.84327697753906
2022-03-22,214.9630889892578
2022-03-23,211.79791259765625
2022-03-24,217.8603515625
2022-03-25,220.09283447265625
2022-03-28,221.84902954101562
2022-03-29,228.07022094726562
2022-03-30,226.0758819580078
2022-03-31,220.62864685058594
2022-04-01,223.0992431640625
2022-04-04,232.06886291503906
2022-04-05,230.03480529785156
2022-04-06,221.56130981445312
2022-04-07,221.21401977539062
2022-04-08,220.59886169433594
2022-04-11,214.77456665039062
2022-04-12,212.47262573242188
2022-04-13,213.31602478027344
2022-04-14,208.54344177246094
2022-04-18,209.1288604736328
2022-04-19,215.61793518066406
2022-04-20,198.8594512939453
2022-04-21,186.60562133789062
2022-04-22,182.67645263671875
2022-04-25,185.5340576171875
2022-04-26,179.5410614013672
2022-04-27,173.58779907226562
2022-04-28,204.12811279296875
2022-04-29,198.90904235839844
2022-05-02,209.48605346679688
2022-05-03,210.37905883789062
2022-05-04,221.6704559326172
2022-05-05,206.6582489013672
2022-05-06,202.18338012695312
2022-05-09,194.6822509765625
2022-05-10,196.11102294921875
2022-05-11,187.27041625976562
2022-05-12,189.75096130371094
2022-05-13,197.07345581054688
2022-05-16,198.48240661621094
2022-05-17,201.04229736328125
2022-05-18,190.74314880371094
2022-05-19,189.800537109375
2022-05-20,192.0330352783203
2022-05-23,194.70205688476562
2022-05-24,179.86846923828125
2022-05-25,182.39865112304688
2022-05-26,190.1378936767578
2022-05-27,193.6106414794922
2022-05-31,192.13226318359375
2022-06-01,187.1711883544922
2022-06-02,197.31161499023438
2022-06-03,189.29454040527344
2022-06-06,192.73748779296875
2022-06-07,194.1265869140625
2022-06-08,195.10887145996094
2022-06-09,182.5673065185547
2022-06-10,174.2029571533203
2022-06-13,162.9810028076172
2022-06-14,162.45513916015625
2022-06-15,168.03138732910156
2022-06-16,159.61741638183594
2022-06-17,162.46507263183594
2022-06-21,155.8271484375
2022-06-22,154.63648986816406
2022-06-23,157.51390075683594
2022-06-24,168.83509826660156
2022-06-27,168.17027282714844
2022-06-28,159.42886352539062
2022-06-29,162.6634979248047
2022-06-30,159.99444580078125
2022-07-01,158.78395080566406
2022-07-05,166.88040161132812
2022-07-06,168.44810485839844
2022-07-07,170.84927368164062
2022-07-08,169.5494384765625
2022-07-11,161.61175537109375
2022-07-12,161.9987030029297
2022-07-13,162.21701049804688
2022-07-14,156.81935119628906
2022-07-15,163.4176025390625
2022-07-18,165.92787170410156
2022-07-19,174.4113006591797
2022-07-20,181.6643829345703
2022-07-21,181.7437744140625
2022-07-22,167.95199584960938
2022-07-25,165.35240173339844
2022-07-26,157.9108123779297
2022-07-27,168.25961303710938
2022-07-28,159.46856689453125
2022-07-29,157.86122131347656
2022-08-01,158.68470764160156
2022-08-02,158.94273376464844
2022-08-03,167.48565673828125
2022-08-04,169.2418670654297
2022-08-05,165.80882263183594
2022-08-08,168.9243927001953
2022-08-09,167.21774291992188
2022-08-10,176.9513702392578
2022-08-11,176.1079864501953
2022-08-12,179.09457397460938
2022-08-15,179.4815216064453
2022-08-16,178.0725860595703
2022-08-17,173.48854064941406
2022-08-18,173.30003356933594
2022-08-19,166.65220642089844
2022-08-22,161.78042602539062
2022-08-23,159.8555145263672
2022-08-24,161.98878479003906
2022-08-25,167.4658203125
2022-08-26,160.52032470703125
2022-08-29,157.93063354492188
2022-08-30,155.93629455566406
2022-08-31,161.66134643554688
2022-09-01,164.0724639892578
2022-09-02,159.0717010498047
2022-09-06,157.3055419921875
2022-09-07,159.14114379882812
2022-09-08,160.79812622070312
2022-09-09,167.8329315185547
2022-09-12,167.6444091796875
2022-09-13,151.93765258789062
2022-09-14,150.2906036376953
2022-09-15,148.38555908203125
2022-09-16,145.15093994140625
2022-09-19,146.86749267578125
2022-09-20,144.9525146484375
2022-09-21,141.01339721679688
2022-09-22,141.70794677734375
2022-09-23,139.3167266845703
2022-09-26,135.3081512451172
2022-09-27,133.35350036621094
2022-09-28,140.5073699951172
2022-09-29,135.34786987304688
2022-09-30,134.62351989746094
2022-10-03,137.5307159423828
2022-10-04,139.18771362304688
2022-10-05,137.8978271484375
2022-10-06,137.9871368408203
2022-10-07,132.410888671875
2022-10-10,132.7482452392578
2022-10-11,127.53910827636719
2022-10-12,126.50723266601562
2022-10-13,129.2755126953125
2022-10-14,125.77299499511719
2022-10-17,132.9962921142578
2022-10-18,131.76600646972656
2022-10-19,132.19264221191406
2022-10-20,130.50584411621094
2022-10-21,128.99769592285156
2022-10-24,128.70993041992188
2022-10-25,136.4392547607422
2022-10-26,128.80917358398438
2022-10-27,97.17741394042969
2022-10-28,98.4275894165039
2022-10-31,92.43461608886719
2022-11-01,94.458740234375
2022-11-02,89.83502197265625
2022-11-03,88.21772003173828
2022-11-04,90.08308410644531
2022-11-07,95.96690368652344
2022-11-08,95.71884155273438
2022-11-09,100.6799087524414
2022-11-10,110.99893188476562
2022-11-11,112.1399917602539
2022-11-14,113.33064270019531
2022-11-15,116.16837310791016
2022-11-16,112.34835052490234
2022-11-17,110.58219909667969
2022-11-18,111.17754364013672
2022-11-21,109.00458526611328
2022-11-22,110.5722885131836
2022-11-23,111.36605834960938
2022-11-25,110.54251861572266
2022-11-28,107.93299865722656
2022-11-29,108.60770416259766
2022-11-30,117.180419921875
2022-12-01,119.5022201538086
2022-12-02,122.52845764160156
2022-12-05,121.47672271728516
2022-12-06,113.23141479492188
2022-12-07,113.04288482666016
2022-12-08,114.43199157714844
2022-12-09,114.99755859375
2022-12-12,113.81681823730469
2022-12-13,119.21446990966797
2022-12-14,120.64324188232422
2022-12-15,115.24562072753906
2022-12-16,118.50006866455078
2022-12-19,113.58861541748047
2022-12-20,116.17828369140625
2022-12-21,118.82749938964844
2022-12-22,116.20804595947266
2022-12-23,117.12091064453125
2022-12-27,115.96992492675781
2022-12-28,114.71974182128906
2022-12-29,119.32361602783203
2022-12-30,119.4029769897461
2023-01-03,123.76871490478516
2023-01-04,126.37825012207031
2023-01-05,125.95159912109375
2023-01-06,129.00759887695312
2023-01-09,128.46189880371094
2023-01-10,131.9545135498047
2023-01-11,131.85528564453125
2023-01-12,135.64552307128906
2023-01-13,135.9134063720703
2023-01-17,134.3060302734375
2023-01-18,131.98426818847656
2023-01-19,135.0899200439453
2023-01-20,138.2847900390625
2023-01-23,142.1544647216797
2023-01-24,142.0254669189453
2023-01-25,140.39822387695312
2023-01-26,146.153076171875
2023-01-27,150.55848693847656
2023-01-30,145.91494750976562
2023-01-31,147.81007385253906
2023-02-01,151.92774963378906
2023-02-02,187.30014038085938
2023-02-03,185.07760620117188
2023-02-06,184.6112518310547
2023-02-07,190.12796020507812
2023-02-08,182.00173950195312
2023-02-09,176.53466796875
2023-02-10,172.7939910888672
2023-02-13,178.0328826904297
2023-02-14,178.08250427246094
2023-02-15,175.78057861328125
2023-02-16,171.0973358154297
2023-02-17,171.53387451171875
2023-02-21,170.74012756347656
2023-02-22,169.78758239746094
2023-02-23,170.700439453125
2023-02-24,169.0632781982422
2023-02-27,168.2198944091797
2023-02-28,173.5778350830078
2023-03-01,172.06968688964844
2023-03-02,173.17103576660156
2023-03-03,183.8075714111328
2023-03-06,183.46031188964844
2023-03-07,183.07333374023438
2023-03-08,183.5297393798828
2023-03-09,180.27529907226562
2023-03-10,178.1122589111328
2023-03-13,179.49142456054688
2023-03-14,192.50930786132812
2023-03-15,196.21026611328125
2023-03-16,203.33432006835938
2023-03-17,194.0869140625
2023-03-20,196.26979064941406
2023-03-21,200.58590698242188
2023-03-22,198.25421142578125
2023-03-23,202.6894073486328
2023-03-24,204.40591430664062
2023-03-27,201.26060485839844
2023-03-28,199.11741638183594
2023-03-29,203.75103759765625
2023-03-30,206.2216796875
2023-03-31,210.28977966308594
2023-04-03,211.41099548339844
2023-04-04,213.04811096191406
2023-04-05,209.83334350585938
2023-04-06,214.4174041748047
2023-04-10,213.07785034179688
2023-04-11,212.18490600585938
2023-04-12,212.33370971679688
2023-04-13,218.63424682617188
2023-04-14,219.76539611816406
2023-04-17,217.15586853027344
2023-04-18,216.19342041015625
2023-04-19,214.02047729492188
2023-04-20,211.41099548339844
2023-04-21,211.23236083984375
2023-04-24,211.13311767578125
2023-04-25,205.9339141845703
2023-04-26,207.76951599121094
2023-04-27,236.7025146484375
2023-04-28,238.4487762451172
2023-05-01,241.28648376464844
2023-05-02,237.377197265625
2023-05-03,235.1844024658203
2023-05-04,231.70172119140625
2023-05-05,230.9674835205078
2023-05-08,231.4536895751953
2023-05-09,231.55288696289062
2023-05-10,231.26515197753906
2023-05-11,233.95407104492188
2023-05-12,231.9894561767578
2023-05-15,237.00013732910156
2023-05-16,236.96047973632812
2023-05-17,240.6018829345703
2023-05-18,244.9279327392578
2023-05-19,243.7273406982422
2023-05-22,246.38648986816406
2023-05-23,244.8188018798828
2023-05-24,247.26956176757812
2023-05-25,250.7224578857422
2023-05-26,259.9996337890625
2023-05-30,260.4759216308594
2023-05-31,262.6587829589844
2023-06-01,270.48736572265625
2023-06-02,270.48736572265625
2023-06-05,269.27685546875
2023-06-06,269.0090026855469
2023-06-07,261.5475158691406
2023-06-08,262.51983642578125
2023-06-09,262.88702392578125
2023-06-12,268.9394836425781
2023-06-13,269.2073974609375
2023-06-14,271.22161865234375
2023-06-15,279.635498046875
2023-06-16,278.8119812011719
2023-06-20,282.1161193847656
2023-06-21,279.447021484375
2023-06-22,282.6618347167969
2023-06-23,286.4818420410156
2023-06-26,276.3017578125
2023-06-27,284.8148498535156
2023-06-28,283.0686340332031
2023-06-29,279.3379211425781
2023-06-30,284.7454528808594
2023-07-03,283.7929382324219
2023-07-05,292.07794189453125
2023-07-06,289.7164611816406
2023-07-07,288.267822265625
2023-07-10,291.8099670410156
2023-07-11,295.9674072265625
2023-07-12,306.9313659667969
2023-07-13,310.9697265625
2023-07-14,306.46502685546875
2023-07-17,308.2013854980469
2023-07-18,309.6202697753906
2023-07-19,313.5494384765625
2023-07-20,300.1644287109375
2023-07-21,291.9687805175781
2023-07-24,289.33941650390625
2023-07-25,292.1771240234375
2023-07-26,296.2452087402344
2023-07-27,309.2829284667969
2023-07-28,322.9457092285156
