Date,price,return,momentum,position,strategy_return,strategy_value,buyhold_value,position_change
2012-07-31,15.710244178771973,0.09119581946572852,0.145523208009948,1,0.09119581946572852,12436.073917503267,22131.81956103227,0.0
2012-08-31,17.003856658935547,0.08234197161057066,0.0485015968383129,1,0.08234197161057066,13460.084762965282,23954.19721901706,0.0
2012-09-30,18.72660446166992,0.10131512146269861,0.26643376288064835,1,0.10131512146269861,14823.794885623327,26381.119619803212,0.0
2012-10-31,16.884971618652344,-0.09834312711560045,0.46493474094262877,1,-0.09834312711560045,13365.976540850883,23786.71781958104,0.0
2012-11-30,17.333465576171875,0.026561724096953343,0.14791456695912641,1,0.026561724096953343,13720.999922015315,24418.53405547684,0.0
2012-12-31,17.55709457397461,0.012901574518955572,0.1651344864809008,1,0.012901574518955572,13898.022424983781,24733.571592237226,0.0
2013-01-31,18.756141662597656,0.0682941635685228,0.09518525220920493,1,0.0682941635685228,14847.17624175462,26422.730176191246,0.0
2013-02-28,19.885698318481445,0.06022329518529301,0.30266680134524027,1,0.06022329518529301,15741.322119229879,28013.99405519336,0.0
2013-03-31,19.711708068847656,-0.0087495167052839,0.2959161889509878,1,-0.0087495167052839,15603.593158384423,27768.885146225726,0.0
2013-04-30,20.465734481811523,0.03825271814752207,0.23852235559857093,1,0.03825271814752207,16200.473009560708,28831.12048299521,0.0
2013-05-31,21.62358283996582,0.05657497214103446,0.36326351131413515,1,0.05657497214103446,17117.014318748184,30462.240321115474,0.0
2013-06-30,21.850683212280277,0.010502439581599576,0.49987954113706556,1,0.010502439581599576,17296.784727448212,30782.16815960815,0.0
2013-07-31,22.033855438232425,0.00838290611660164,0.5176959633719702,1,0.00838290611660164,17441.78204993748,31040.212185355595,0.0
2013-08-31,21.019962310791016,-0.04601523915247874,0.40251514791890086,1,-0.04601523915247874,16639.194277664195,29611.88939830277,0.0
2013-09-30,21.73998641967773,0.03425430066147528,0.23618792679865375,1,0.03425430066147528,17209.158241216002,30626.223960906587,0.0
2013-10-31,25.578882217407227,0.17658225371542824,0.16091448741685532,1,0.17658225371542824,20247.990187995358,36034.27161071692,0.0
2013-11-30,26.298904418945312,0.02814908780681935,0.5148904478554746,1,0.02814908780681935,20817.952641708856,37048.603486341766,0.0
2013-12-31,27.81589698791504,0.05768272871005653,0.5172329101399162,1,0.05768272871005653,22018.788956239354,39185.668030330875,0.0
2014-01-31,29.311542510986328,0.0537694514658682,0.5843109388467582,1,0.0537694514658682,23202.727160359056,41292.65990564537,0.0
2014-02-28,30.172298431396484,0.029365766748288058,0.562770373473858,1,0.029365766748288058,23884.093034074333,42505.25052485094,0.0
2014-03-31,27.662012100219727,-0.08319837936392083,0.5172863405734582,1,-0.08319837936392083,21896.975201062236,38968.8825667259,0.0
2014-04-30,26.52477264404297,-0.041111957151075185,0.4033290267694616,1,-0.041111957151075185,20996.74769485801,37366.79553641738,0.0
2014-05-31,28.348203659057617,0.06874445408014318,0.2960576942702098,1,0.06874445408014318,22440.15765259953,39935.55549629273,0.0
2014-06-30,28.993865966796875,0.022776127740036234,0.31098550452346907,1,0.022776127740036234,22951.25754980169,40845.1328096456,0.0
2014-07-31,28.739965438842773,-0.008757042894688927,0.32690889731548833,1,-0.008757042894688927,22750.27240295102,40487.45022959226,0.0
2014-08-31,28.87931251525879,0.004848547111601098,0.30435481522557906,1,0.004848547111601098,22860.578170498487,40683.75553945904,0.0
2014-09-30,29.17932891845703,0.010388626912074983,0.373899348070335,1,0.010388626912074983,23098.06818810612,41106.40389714054,0.0
2014-10-31,28.16075134277344,-0.034907505190748256,0.34219628086085896,1,-0.034907505190748256,22291.77225293355,39671.48188972811,0.0
2014-11-30,27.228954315185547,-0.03308850024085064,0.10093752742679163,1,-0.03308850024085064,21554.17094137337,38358.81205166494,0.0
2014-12-31,26.315502166748047,-0.03354708880348256,0.03536458711071777,1,-0.03354708880348256,20831.091254717674,37071.98557737164,0.0
2015-01-31,26.65718078613281,0.012983929290792728,-0.05394019189166743,0,0.012983929290792728,21101.560670618983,37553.32561677752,-1.0
2015-02-28,27.900897979736328,0.04665599125360265,-0.09055687614729357,0,0.0,21101.560670618983,39305.413248297584,0.0
2015-03-31,27.50765037536621,-0.014094442575135813,-0.07528098851417286,0,-0.0,21101.560670618983,38751.42535837748,0.0
2015-04-30,27.213579177856445,-0.010690524035928295,-0.005580278263716432,0,-0.0,21101.560670618983,38337.15231415726,0.0
2015-05-31,27.04249382019043,-0.00628676428586894,0.02596842367160379,1,-0.0,21101.560670618983,38096.1356741667,1.0
2015-06-30,26.78066062927246,-0.009682287168444437,-0.04605970292054096,0,-0.009682287168444437,20897.249300503696,37727.2779485614,-1.0
2015-07-31,32.60551834106445,0.21750239071493116,-0.0763335713857175,0,0.0,20897.249300503696,45933.0510975402,0.0
2015-08-31,32.1254768371582,-0.014722707330852902,0.13450095861970968,1,-0.0,20897.249300503696,45256.792229418,1.0
2015-09-30,31.6568603515625,-0.014587067079847138,0.11240448747470211,1,-0.014587067079847138,20592.41972317296,44596.62836534878,0.0
2015-10-31,36.5672721862793,0.15511367141860077,0.08490707377229412,1,0.15511367141860077,23786.585549827123,51514.175123988935,0.0
2015-11-30,37.82984161376953,0.03452730685128791,0.2985190537419067,1,0.03452730685128791,24607.872288050414,53292.82085568588,0.0
2015-12-31,38.58162689208984,0.019872810623839943,0.3893240693665525,1,0.019872810623839943,25096.89987388648,54351.89899216115,0.0
2016-01-31,37.75545501708984,-0.021413609055697558,0.46611782848062533,1,-0.021413609055697558,24559.484671477087,53188.02867570825,0.0
2016-02-29,35.56704330444336,-0.05796279535383442,0.4163333819880308,1,-0.05796279535383442,23135.94828746863,50105.101854304296,0.0
2016-03-31,37.83232116699219,0.06369036197804578,0.27476339042115216,1,0.06369036197804578,24609.48520860285,53296.31392835179,0.0
2016-04-30,35.10386657714844,-0.07211967190171409,0.3753381568667884,1,-0.07211967190171409,22834.65720968833,49452.6012542683,0.0
2016-05-31,37.13557434082031,0.05787703640015707,0.2899393478426491,1,0.05787703640015707,24156.25949619857,52314.77125714404,0.0
2016-06-30,34.88814926147461,-0.060519464670707346,0.3732303902051446,1,-0.060519464670707346,22694.335603041938,49148.70930629117,0.0
2016-07-31,39.24266052246094,0.1248134783060797,0.3027366928857722,1,0.1248134783060797,25526.89456750311,55283.130669063765,0.0
2016-08-31,39.16877365112305,-0.0018828201338592088,0.2035588611709771,1,-0.0018828201338592088,25478.832016456516,55179.04247757728,0.0
2016-09-30,39.873443603515625,0.01799060544169917,0.21924333916246042,1,0.01799060544169917,25937.211630379916,56171.74685944213,0.0
2016-10-31,40.163047790527344,0.0072630844200820555,0.25955142615864535,1,0.0072630844200820555,26125.595788072897,56579.72699890574,0.0
2016-11-30,38.47599792480469,-0.042005025976154964,0.09833316485655841,1,-0.042005025976154964,25028.18945835237,54203.09409659295,0.0
2016-12-31,39.29770278930664,0.021356297661410784,0.017080597842100476,1,0.021356297661410784,25562.698922351126,55360.67150828925,0.0
2017-01-31,40.67333221435547,0.03500533943228734,0.01856002338158569,1,0.03500533943228734,26457.529874933396,57298.59060563627,0.0
2017-02-28,41.90019226074219,0.03016374561889723,0.07728359242246907,1,0.03016374561889723,27255.588075785257,59026.93071698602,0.0
2017-03-31,42.042518615722656,0.0033967947949924415,0.17806228372960176,1,0.0033967947949924415,27348.169715495544,59227.43308800985,0.0
2017-04-30,45.847076416015625,0.09049309902357217,0.11128572920880586,1,0.09049309902357217,29822.99034567334,64587.107055355125,0.0
2017-05-31,48.94993209838867,0.06767837613499683,0.30604064128538755,1,0.06767837613499683,31841.3619037582,68958.25758011876,0.0
2017-06-30,46.10296249389648,-0.058160848901073536,0.31814124238767283,1,-0.058160848901073536,29989.441265269317,64947.58678052016,0.0
2017-07-31,46.88747787475586,0.017016593694239024,0.3214505059689674,1,0.017016593694239024,30499.75940239765,66052.77347618561,0.0
2017-08-31,47.370487213134766,0.010301457025884364,0.19480884452060354,1,0.010301457025884364,30813.951363181262,66733.213283591,0.0
2017-09-30,48.28691101074219,0.019345880769267687,0.20939418821392075,1,0.019345880769267687,31410.074392283383,68024.22607112546,0.0
2017-10-31,51.22859954833984,0.060921033796161206,0.21100428372544044,1,0.060921033796161206,33323.608595875616,72168.3322465622,0.0
2017-11-30,51.38381576538086,0.003029874296964996,0.2755157381363462,1,0.003029874296964996,33424.57494104238,72386.9932214909,0.0
